review_date,handle,rating,helpfulness_rating,review
"October 15, 2016",Brian Colon,5.0,171,"Let me start by saying that I have owned the previous model of Brew Station (Model 48464) for about four years with multiple pots of coffee brewed a day, loved every minute of having it. We decided to upgrade only because the coffee maker started to show its age. It started to leak behind the dispensing lever despite regular cleaning, and the flow of the coffee dramatically decreased over time. We liked the unit so much we decided to try the newer model of the Brew Station. New model (Model 48465): We have had this new model for a few days now, it functions exactly the same as when we purchased the older model. It has great flow to the dispensing area, brew time for a full pot takes about 5 minutes. there are only a few cosmetic differences between the two models that are shown in the attached images: The buttons on the new unit are rectangular instead of circular on the old The Blue display is brighter on the new display is brighter than the old (makes it look better) Back-splash of the newer unit has a stainless steel finish rather than the black plastic of the old unit. I do like the look of the stainless on the back-splash but I am unsure of how clean it will stay with regular use. As far as the $5 price difference, whether you should choose the older model over the new is strictly cosmetic. If you like the look of the stainless back-splash, the buy the newer model. If you can live with the black plastic back-splash buy the older model and save yourself the $5."
"June 8, 2018",CaffinatedWolf,1.0,50,"To start with, the unit came with only 2 rubber feet, both on the backside of the bottom, so it didn't sit level on the counter, AND when you push your cup onto the button to get coffee, the entire unit slides on the counter unless you hold it in place because it doesn't have all 4 rubber feet.  Second, I love dark roast coffee, but the coffee tastes burned, regardless which brew setting you use. Third, and last but not least, Hamilton Beach customer service is either unknowledgable or unwilling to even send me a set of rubber feet to rectify the sliding across the counter situation.  In fact, I was told by Hamilton Beach customer support that this unit only comes with 2 rubber feet, and they do not offer the rubber feet as a replacement or warranty part.  I have had several products from Hamilton Beach in the past, and they were decent quality, but after this I will no longer buy anything producted by them."
"July 25, 2018",L. L.,4.0,41,"I've purchased every brand out there over 30 years, I like this one better, so far. It makes great ""Hot"" coffee, is easy to use, also makes a fast cup of coffee or a full pot, (((quietly)), which I love!!  I'd give it a ""5"" stars but after it's done..it's really wet when you open the lid..even hours later...to take out the grounds, or make another pot, it just stays wet and makes for a mess any time you open that lid. Otherwise it's a good value for the money..I've paid a lot more, for other coffee makers brands, and not had coffee be as hot as this one ( I like it that way) or be so quiet. Arrived fast and securely.Over all a good value for me.I never tried this brand before, it's a pleasant surprise.."
"April 24, 2019",Rebecca,1.0,27,"I purchased this coffee maker just 6 months ago because it seemed like a fun design. Unfortunately, I instantly came to regret my decision and immediately began to experience problems with the design and usability of the machine. My first observation about this machine was how difficult it is to pour the water into the back of it. We had this coffee maker for 6 months and every morning for 6 months I flooded my kitchen counter with brownish water and cursed the coffee gods for what they had done to me. But the pouring problems were really the least of my troubles. In order to pour water, you have to open the machine. If I was able to manage pulling it out from beneath the cabinets without the top popping off in my hands, I was doing pretty good. But, I was literally never able to pull it out to fill it without the rubber feet popping off. The first time I used the machine, one rubber foot popped off, bounced across the floor and rolled under the refrigerator. Within a few more days, the other two rubber feet had also popped out. I would pop them back in every morning after sliding the machine back under the cabinets. I tried desperately to hang on to them... I really did, but, eventually all three feet disappeared into the dark crevices of my kitchen never to be found again, which led to an even bigger problem... Without the rubber feet, dispensing a cup of coffee will send the entire machine accelerating across the countertop at warp speed like a bar of wet soap. The only solution I could find for this problem was to move the coffee maker to a corner so it would have two solid walls keeping it in place. We consume a lot of coffee in our house and we usually end up having to make a second pot. This presents a real problem with this machine because the bucket that holds the coffee and keeps it hot is also the bucket you have to remove to refill the water in the machine. Basically, if you want a second pot, you have to reach your hand into a scalding hot, steaming, wet container and say a prayer. Since the hot plate that warms the coffee is literally IN the coffee it gets caked with burnt coffee really quickly, which then makes all of your coffee taste burned and makes for a lot of extra cleaning and scrubbing. Despite all of these problems, I wanted to get my money's worth out of this coffee maker, so we made it work. But now, we're 6 months into this ordeal and the coffee maker has begun to leak. I finally put this machine out to trash today, and I have to say, it felt like a huge weight had been lifted."
"April 12, 2018",Michael Strausbaugh,1.0,46,"At first I had given this coffee maker a five star, thought it was great. I was completely wrong. It leaks all the time. I had to stop using because inside where the coffee goes is coming off. When I rinse it out little black chunk's of the paint is coming off. Very unsafe. Was even getting head aches. Major health issue. DO NOT BUY!!!!"
"May 20, 2017",Warnali,5.0,52,"We have had this coffee maker for two days now and it is by far the best one we have purchased. I read the reviews before buying and I have to say, some aren't fair. The coffee maker basically comes ready to use when you buy it. To put the water in it, is not hard and it doesn't make a mess if you pour it correctly. It's very easy to use, we did not read any instructions. The temperature of the coffee is perfect. When and if this does break, we will be purchasing again. It does in fact beep, very low (once), it will not wake anyone up."
"June 16, 2017",Danielle,5.0,33,"After hours of deciding which coffee maker to get I bought this one, and I haven't been dissapointed. The stainless steel looks awesome and matches my fridge and stove. The small plate under the dispenser comes out for easy cleaning, and it's actual metal. (I had a kuerig and it was plastic).  It's easy to fill with water and easy to see how many cups are in it. It brews delicious perfect drinking temperature coffee. The added functions (bold, 1-4 cups) really do make a difference. There is a side measurement on the coffee maker so you can see how much coffee is left. I noticed if there is less than 2 cups to just turn it off so it starts to burn. The dispenser is tall enough to fit a travel mug under. Also I want to note that when the coffee maker says 1 cup does NOT mean 1 mug/cup of coffee. To fill an average sized mug/cup you need 2-3 cups of brewed coffee."
"November 9, 2017",Mary B,1.0,36,"So this was my third Hamilton Beach coffee maker in 7 years and each one has been worse then the first. Simply put, its leaks. I biought this one in March of 2017. It didnt even make it a year. Its leaking and make a mess all over my kitchen counter. Don't waste your money."
"July 11, 2017",Nevis Rik,3.0,58,"I owned another BrewStation model before, and loved the way it made coffee. When a small part broke inside, it wouldn't dispense coffee anymore. The company doesn't offer that part (?!), so I had to buy a new BrewStation. The new one looked fine, but I discovered a manufacturing crack inside. Amazon sent a replacement right away. The replacement looked like it had been used before. The outside was ""scuffed & scratched."" The inside also looked used. I couldn't smell coffee, and the box was obviously brand new, so I washed everything and polished it as best I could. It makes great coffee. I actually think the ""used"" appearance is simply from poor quality control in the manufacturing process. Strange. Also, the little drip grill underneath the dispenser is so flimsy and cheap, it makes the whole coffee maker seem cheap. Plus, when you hold your cup under the dispenser to get coffee, the BrewStation actually slides away from you. The feet not only don't hold the coffee maker, they make skid marks on the counter."
"October 26, 2017",DBeem191,3.0,28,"I love the concept of this pot (no carafe) but I didn't realize until I got it, that due to the height of the unit, it must be pulled away from the wall before you can remove the internal pieces to clean and fill with water. I also didn't realize that the internal pieces would be wet and drippy when refilling or that pouring the water into the pot would be so awkward due to the design of the container. It makes good coffee though! Regarding at least one other review that stated the coffee wasn't hot enough, my first cup is just the right temperature to drink right away without cooling, which I actually prefer. The rest of the coffee is hotter when given time to warm on the heating element."
"January 30, 2020",Smokiechick,2.0,9,"I have owned several versions of the Hamilton Beach BrewStation over the years. I have never been disappointed with them before. First time for everything. I have a large family and brew 12 cups every morning. It takes 4 to fill my travel mug. It's been just over a month since the new one arrived and it's disappointing. Halfway through brewing, it stops. Just stops like it thinks it's done. I've figured out that if I turn it off and back on again it will finish the pot. That just seems like an unnecessary step, to me. ADDENDUM: It's not broken. It's just overly dramatic. Took the time to do a good clean of the system and it works like a champ again. You would think it could turn on the ""Clean"" on the display; but, it would rather just stop working and give you the silent treatment. Because you know what you did and it shouldn't have to tell you."
"April 22, 2018",Aaron Johnson,2.0,19,This is my second Hamilton Beach dispenser style coffee maker. I had the older version for 7-8 years and loved it. When it came time to replace it- I of course wanted the same type. This model was updated with the water reservoir on the side- which is an improvement. Unfortunately- they have downgraded to very cheap plastic for the body and components. I dropped the water reservoir in my sink when filling it one morning and the hinge for the lid broke off on one side because it is thin plastic. The dispenser button sticks inside the frame of the body continuously which pours coffee all over my counter. It happens about 50% of the time when dispensing. I have to use the end of a spoon or fork to pull the dispensing button out of the frame which stops the coffee from flowing. I never had this issue with the old design in 7-8 years. Hamilton Beach needs to fix this- it is a major issue.
"March 10, 2018",ButchJ,1.0,19,"This is the worst  coffee maker that I have ever used in my 55 years of making coffee.. It does not heat the water enough to actually cook the coffee. The coffee is luke warm at best when pouring into the cup. It is difficult pouring the coffee into the cup.You have to hold the back of the coffee maker in order to push the button so the coffee will pour into the cup. Sadly I disposed of the original box so I cannot return it. This coffee maker is so bad, I won't give it to Goodwill or to a friend. It will go in the trash where it belongs.Don't buy this junk!"
"January 4, 2019",Chinon,5.0,8,"I purchased this as a Christmas present for my mom. She is very peculiar about how she drinks her coffee. I have never been able to convert her to a pour over or french press method. It's drip coffee or die. Her Mr. Coffee maker was CRIPPLED after continuously being used to brew burnt tasting coffee, yet she persisted in using that pathetic little thing. When she finally confessed that she needed a new coffee maker, I knew I had to introduce her to something new -- but not TOO new. Having said that, she LOVES this coffee maker. She understood how to use it the first time I explained it to her (a serious perk for someone who can't figure out how to use Google Maps!) and, I kid you not, text messages me every morning to say how delicious her coffee tastes now. Her favorite feature is the keep warm function, which has in all likelihood increased her coffee consumption. I personally prefer other methods of brewing, but I do admit this maker can brew a tasty cup that I appreciate having when I go to visit my mama. Highly recommend as an upgrade for the drip coffee lover."
"April 20, 2018",Missy,5.0,20,"I read the questions section and the review section of this brewer. It took me a couple days. I decided to order it. I waited a couple weeks to review it. First, to the people concerned with water under the machine: I figured this out. There is a hole in the back of the machine where the bottom meets the top. If you pour the water in too fast, or move it after filling it, the water will come out of this hole. See my pictures. Also,  much like with any brewer I've had, when you lift the lid, the water will run down the back side of the machine. The coffee is super hot after it's brewed. Whether I wait for it to finish brewing or not. It's MUCH hotter than my Keurig ever made. Steaming hot! I do find that well into the 3rd hour of 4 hour keep warm function, it's not as hot, but still good. I tried to reset the warm function after the time ran out and it did not really heat the coffee back up. So try to drink it all before the initial time runs out and the pot shuts off. I do still notice a little bubbling noise after the brew cycle is complete. It's from the warning plate but it's not loud and my coffee never has that bitter, burnt taste. Mine also beeps when it's done brewing. That is also not super loud. I can hear it, my husband can't. It also brews much faster than my old pot. The 1-4 cup brew option, as well as the bold brew option, do cause it to brew slower. There may not be a typical carafe, but the coffee still goes somewhere and you do still need to wash it. However, there's no worrying about breaking glass and with it being a big open container, there's no trying to squeeze your hand in it to wash it. And I have small hands. None of the parts are dishwasher safe. But it's super easy to wash so I don't care. I do have a reusable filter but I find that the lid did not fully close when I used it. It still brewed just fine. The lid wasn't open enough to hinder the brewing process in any way. I need to find one that fits better. All in all, I'm supper happy with my decision. I had a pot that just didn't make good coffee anymore and my poor Keurig needed a rest. I also included pictures of the directions and troubleshooting."
"October 30, 2019",Anne,1.0,6,"I first purchased this Hamilton Beach coffee maker about ten years ago, and it was wonderful--kept the coffee hot inside and dispensed without issues. But the last two we've owned haven't lasted very long (two years, then one year) before the coffee stopped being hot enough. Also, the coffee grounds splash all over the inside of the maker (which the first one didn't do). I was reticent to purchase this model again but couldn't find an alternative in my search on Amazon (we love the dispenser ""on demand"" style maker). This time, the dispenser leaked coffee all over each time we tried to use it. I do thank Amazon for allowing us to return it for a full refund. I did find an ""on demand"" dispenser style maker from Cuisinart that works great and is everything we want--without all the flaws. I have to knock Amazon down some points for not showing the Cuisinart in my original search, though they do sell it. I ended up buying it elsewhere online, THEN Amazon started highlighting it in their email advertisements."
"January 15, 2018",Dorothy G.,1.0,18,Bought this a little over 3 months ago. It leaked for the first few days and then stopped. About a month ago it started leaking again and the leaking just got worse and worse. Hamilton Beach just has not mastered this type of technology. We are going back to the old brewmaster which we’ve had for the last five plus years and we’re happy with😞.
"September 29, 2019",DstnD,1.0,4,"The actuator lever in the base (that pushes the lever on the tank to dispense coffee) broke, and now it no longer dispenses when you press your cup against it. This cannot be solved with a replacement tank, and there are no relevant replacement parts to be found. However, before this happened, the coffee maker was problematic from the start. The water reservoir likes to leak all over the counter after being set up the night before, so we wake up to a puddle of water instead of a pot of coffee. The strangest part: I don't have this issue if I place the water reservoir on *twice* AND put the water reservoir on before placing the coffee tank. That's right. No matter how carefully I seat the reservoir and tank, it will leak water if I don't fill the reservoir, put it in place, lift it off, put it back, and -then- put the coffee tank on. This also suffers from the same problem as the HB 48465 series; where the little mesh dome filter in the coffee tank gets clogged, the washer inside gets caked in coffee residue, and it will develop both slow-dispense issues, and leaky washer issues. No, the vinegar washes are not enough - the water mineral filters are not enough. We're not supposed to be able to remove that filter or maintenance the washer - just throw the coffee maker away and buy a new one. However, if you're gentle enough, you can pop that little dome filter out with a butter knife soak the mesh part in some orange-clean or something to get it flowing again (wash it VERY WELL afterward if you use something that harsh, but it's been necessary - just don't wash the tank itself with orange clean). The main weak point is the rubber washer. It can be cleaned, but it will eventually begin to degrade and leak. I was unable to find any kind of rubber washer that would fit and work for this machine, I've resorted to flipping the washer over periodically, turning it a few degrees, etc. I'm down to 1 washer position left that doesn't cause a persistent coffee drip. I love the BrewStations, we've purchased several because despite these issues; it's programmable, stays hot for 4 hours and no carafe - for less money than the similar Cuisinart products that have potentially more-annoying issues. However, I would stay away from this specific BrewStation model, and stick to the HB 48465 series. It has fewer points of failure, and the coffee tank filter and washer issues can be... worked with."
"January 22, 2019",J. Crumley,5.0,8,"I have had numerous coffee makers... including two different kinds of Keurigs.  This is the absolute most favorite out of all coffee makers I have ever had.  It is so easy to use, and clean.  It keeps coffee hot up to four hours.  Or you can even make cold coffee too.  It comes out as like a soda machine.  No more heavy coffee pots for hurting hands.  Kcups are too expensive if you like to realllly drink coffee.  You just add water to the (detachable) reservoir  - how ever much you want  - put the coffee in on top and press a button!  That is it!  It can even be programmed to make coffee at whatever time your heart desires.  This is the BEST ever!!"
"February 2, 2018",G. Roth,4.0,10,"I got this one as an upgrade to another HB Brewstation without the removable reservoir. I don't know if anything has changed over the years of this coffee maker. Mine had a minor design flaw. The warmer plate has 4 W1 security screws. The heads are too tall for the reservoir to sit properly. This leaves a very tiny gap between the two metal plates. The gap causes a constant bubbling/brewing sound and prevents the coffee from maintaining a high enough warmer temperature. I looked to see if I could find a thinner head screw with the same threads in my hardware stash. I was unable so I sanded down the heads of each screw about 10 thousandths. The coffee maker is now completely silent when it is done brewing. You could temp fix the problem with a sheet or two of aluminum foil going over the top and edges. Just make sure it isn't going onto the surface with the screws or you will recreate the same gap. Other than that 1 issue, I love the coffeemaker. It brews quickly. It does a great job with maintaining hot coffee (now)"
"December 27, 2018",Paul G,2.0,9,"What I liked: Dispensing one cup at a time and no carafe. What I disliked: As mentioned by many others, when setting for a delayed brew, often water would leak out from the water reservoir. At first we didn't notice it until the next morning when water was on the floor. Hardwood flooring in the kitchen and now it's ruined after all that water soaked in it. Tried calling Hamilton Beach support, recording said my hold time was about 20 minutes.  35 minutes later I finally hung up. Second time I called support, it said hold time was 30 minutes. Decided not to wait for what would likely be another 45 minutes or so. So I finally decided my time was worth more than waiting for support and getting frustrated.  Chalked up the $40 I paid for it to experience and got rid of it.  Bought a Mr. Coffee with a glass carafe this time for $30.  So far, great!  Coffee even tastes better. I would not recommend this product."
"August 21, 2016",kissesofhope26,5.0,18,"There are few things more depressing than loosing a beloved coffee maker, but that's what happened to us. Our old work horse started failing and we needed a new one. In comes this coffee maker to completely resurrect us from the dulldrums left by our former, caffeine-wielding friend. The setup was super quick and easy and off we were. The lack of coffee urn is a HUGE plus and the fact that water reservoir is removable makes the clean freak in me jump for joy. How was the first pot of coffee, you ask? Fan-freaking-tastic!! The coffee was hotter than our previous maker that supposedly had a setting to make it hotter."
